Aviso,Fecha de aviso,Descripción,Orden,Grupo planif.,Clase de aviso,Status sistema,Fecha de cierre,Ce.emplazam.,Descripción.1,Duración parada
100000156,01/04/2025,Daño en mesa,,Infraestructura,Correctivo,METR,,C410,,0.0
100000158,01/04/2025,Calibración termómetro sala de lactancia,,Metrologia,Correctivo,MECE,12/05/2025,A280,,0.0
100000159,01/04/2025,Solicitud cambio de gato de vitrina exhi,,Frigoristas,Correctivo,MECE,19/08/2025,C300,Vitrina refrigeracion N°02,0.0
100000160,01/04/2025,Portacuchillos PV Caldas,,Infraestructura,Correctivo,MECE,07/05/2025,C140,,0.0
100000166,01/04/2025,Arreglo lampara pasillo,,Electromecanico,Correctivo,MECE,29/07/2025,C180,,0.0
100000169,01/04/2025,Camara No Funciona,,Electromecanico,Correctivo,MECE,21/08/2025,C400,CAM PV-CALI-Mostrador 1,0.0
100000171,01/04/2025,Reflectores parte externa,,Electromecanico,Correctivo,MECE,21/07/2025,C260,,0.0
100000173,01/04/2025,Pisos muy porosos,60000543.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C140,,0.0
100000174,10/04/2025,Fabricacion carro reparacion Nevera Even,60000200.0,Frigoristas,Correctivo,MECE ORAS,02/05/2025,A400,Nevera vitrina refrigeracion eventos,0.0
100000175,01/04/2025,corrosión o oxidación de equipos,,Frigoristas,Correctivo,MECE,19/08/2025,C330,Vitrina refrigeracion N°01,0.0
100000176,01/04/2025,Páneles led de pérgola malos,,Electromecanico,Correctivo,MECE,29/07/2025,C250,,0.0
100000177,01/04/2025,Arreglo Puerta Principal,,Infraestructura,Correctivo,MECE,21/05/2025,C200,,0.0
100000178,01/04/2025,Instalacion de camilla,,Infraestructura,Correctivo,MECE,21/05/2025,C210,,0.0
100000179,01/04/2025,Lámparas de Cruz Técnica,,Electromecanico,Correctivo,MECE,29/07/2025,C250,,0.0
100000181,01/04/2025,Techo del area de procesos,60000504.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C120,,0.0
100000183,01/04/2025,Protector para la pared sala de clientes,,Infraestructura,Correctivo,MECE,04/06/2025,C260,,0.0
100000185,01/04/2025,Reparación cubierta de ventiladores,60000404.0,Frigoristas,Correctivo,MECE ORAS,08/05/2025,C190,Evaporador cava congelacion N°01,0.0
100000186,01/04/2025,Goteras centro monitoreo,60000501.0,Infraestructura,Correctivo,MECE ORAS,07/05/2025,A290,,0.0
100000189,10/04/2025,Bomba suministro agua dañada,60000132.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C270,Bomba agua presión hidroflot,131.0
100000191,01/04/2025,cambio de ojos de buey,,Electromecanico,Correctivo,MECE,29/07/2025,C200,,0.0
100000193,01/04/2025,Proteccion a bomba de desinfección,60000474.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,A400,Sistema bombeo N°01,0.0
100000195,01/04/2025,Instalacion de camilla,,Infraestructura,Correctivo,MECE,21/05/2025,C120,,0.0
100000197,01/04/2025,Cambio mueble de madera lavamanos,60000963.0,Infraestructura,Correctivo,MECE ORAS,01/08/2025,C460,,0.0
100000198,01/04/2025,Marco dañado cava refrigeracion,,Frigoristas,Correctivo,MECE,05/09/2025,C290,,0.0
100000199,01/04/2025,Manija baños,60000394.0,Infraestructura,Correctivo,MECE ORAS,30/04/2025,C240,,0.0
100000200,01/04/2025,cambio de: gatos,,,,,,,,
100000201,01/04/2025,stiker,,Metrologia,Correctivo,MECE,26/04/2025,C240,Balanza colgante N°01,0.0
100000202,01/04/2025,Daño iluminacion externa P.v,,Electromecanico,Correctivo,MECE,29/07/2025,C310,,0.0
100000203,08/04/2025,Cambio lamparas de emergencia,60002280.0,Electromecanico,Correctivo,MECE ORAS,29/07/2025,C140,,0.0
100000205,01/04/2025,Instalacion estructura horno,60000381.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C580,,0.0
100000206,01/04/2025,Camara del mostrador sin visual,,Electromecanico,Correctivo,MECE,21/08/2025,C300,CAM PV-CART-Cajas 2,0.0
100000207,01/04/2025,Camara Mostrador 1 sin visual,,Electromecanico,Correctivo,MECE,21/08/2025,C370,CAM PV-CTGO-Caja,0.0
100000208,01/04/2025,instalacion lamparas nuevas P.v,,Electromecanico,Correctivo,MECE,29/07/2025,C170,,0.0
100000209,01/04/2025,Persianas punto de venta,,Electromecanico,Correctivo,MECE,21/07/2025,C320,Puerta automatica N°05,0.0
100000210,01/04/2025,Puerta metalica principal,60000376.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C200,,0.0
100000211,01/04/2025,Se requiere UPS para el punto de venta,,Electromecanico,Correctivo,MECE,08/09/2025,C120,UPS,0.0
100000212,01/04/2025,Mantenimiento pisos archivo financiero,,Infraestructura,Correctivo,METR,,A280,,0.0
100000214,05/04/2025,Revisión camaras,,Electromecanico,Correctivo,MECE,29/07/2025,C360,CAM PV-DQU_Cava refrigeracion,0.0
100000216,01/04/2025,Bisagras puertas cocina GTH,60001114.0,Infraestructura,Correctivo,MECE ORAS,01/08/2025,A300,,0.0
100000217,01/04/2025,Instalación de pasamanos PV la 33,,Infraestructura,Correctivo,MECE,04/08/2025,C470,,0.0
100000219,01/04/2025,Bascula de proceso no enciende,60000309.0,Metrologia,Correctivo,MECE ORAS,06/05/2025,C120,Balanza etiquetadora,32.0
100000220,01/04/2025,Soldar chapa de portacuchillo,,Infraestructura,Correctivo,MECE,21/05/2025,C140,,0.0
100000223,01/04/2025,Instalacion de camaras tipo domo,,Electromecanico,Correctivo,MECE,29/07/2025,C230,,0.0
100000227,01/04/2025,Daño en luces parrilla,,Electromecanico,Correctivo,MECE,29/07/2025,C310,,0.0
100000228,01/04/2025,Reparacion de camaras de parrilla,,Electromecanico,Correctivo,MECE,21/08/2025,C320,CAM PV-SOLE_Zona Parrilla,0.0
100000231,02/04/2025,Pintura de escalera tipo gato,60000136.0,Infraestructura,Correctivo,MECE MERE ORAS,21/05/2025,C240,,0.0
100000233,01/04/2025,Reparación santamaría,60000135.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C160,,0.0
100000234,01/04/2025,bascula de piso,60000109.0,Metrologia,Correctivo,MECE ORAS,11/04/2025,C120,Bascula plataforma,0.0
100000238,01/04/2025,arreglo vitrinas para Envigado curva 90,60000182.0,Frigoristas,Correctivo,MECE ORAS,16/05/2025,C160,Vitrina refrigeracion Curva,0.0
100000243,01/04/2025,Freidora no enciende,,Electromecanico,Correctivo,MECE,21/07/2025,C570,Freidora electrica N°01,0.0
100000244,01/04/2025,daño sierra sin fin,60000107.0,Electromecanico,Correctivo,MECE ORAS,22/05/2025,C160,Sierra sin fin,0.0
100000246,01/04/2025,Recipientes de freidora en mal estado,,Electromecanico,Correctivo,MECE,29/07/2025,C120,Freidora a gas N°01,0.0
100000247,04/04/2025,Reparacion cortina,60000105.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C160,,0.0
100000248,01/04/2025,Sellamiento y reparación,,Infraestructura,Correctivo,MECE,01/08/2025,C470,,0.0
100000249,10/04/2025,No encienden las luces de la campana.,60000126.0,Electromecanico,Correctivo,MECE ORAS,06/05/2025,C460,Campana extractora,0.0
100000250,01/04/2025,Deterioro estructura escaleras,60000201.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C310,,0.0
100000251,10/04/2025,Daño en gatos de Vitrina,,Frigoristas,Correctivo,MECE,28/07/2025,C380,Vitrina refrigeracion N°01,0.0
100000252,10/04/2025,Reparacion de camaras,,Electromecanico,Correctivo,MECE,29/07/2025,C260,CAM PV-MON_Zona De Carga,0.0
100000253,01/04/2025,Daño el aire acondicionado instalacio,60001017.0,Frigoristas,Correctivo,MECE ORAS,05/06/2025,C190,Aire acondicionado msplit - casette N°01,0.0
100000254,04/04/2025,Sincele_Cava,,Electromecanico,Correctivo,MECE,21/08/2025,C290,CAM PV-SIN_Cava,0.0
100000283,03/04/2025,Pintura medias cañas,60000134.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C180,,0.0
100000284,08/04/2025,Mantenimiento general punto de venta,60000141.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C180,,0.0
100000320,12/04/2025,Cierre Parqueadero,60000164.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C470,,0.0
100000326,13/04/2025,Cava de congelacion dañada,,Frigoristas,Correctivo,MECE,21/05/2025,C270,Evaporador cava congelacion N°01,22.0
100000341,14/04/2025,Mantenimiento correctivo iluminacion,60000162.0,Electromecanico,Correctivo,MECE ORAS,29/07/2025,C330,,0.0
100000357,14/04/2025,deterioro adaptador camara,,Electromecanico,Correctivo,MECE,21/08/2025,C330,CAM PV-LDOR_Puerta,0.0
100000360,14/04/2025,Cambio de luces en pergola,60000168.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C350,,0.0
100000377,14/04/2025,Calibracion alcoholimetro GSPA,60000316.0,Metrologia,Correctivo,MECE ORAS,02/07/2025,A400,Alcoholimetro,0.0
100000388,15/04/2025,canasta de freidora gancho partido,60000271.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C280,Freidora electrica N°01,216.0
100000394,15/04/2025,Gotera sala de ventas,60000211.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C120,,0.0
100000403,01/04/2025,Reparacion de kit de arranque compresor,60000184.0,Frigoristas,Correctivo,MECE ORAS,02/07/2025,C180,Vitrina refrigeracion N°03,0.0
100000422,15/04/2025,Cava de refrigeracion deficiente,60000209.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C190,Evaporador cava refrigeracion N°01,0.0
100000426,15/04/2025,arreglo vitrinas para Envigado prest 200,60000202.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C160,Vitrina refrigeracion 200,0.0
100000427,15/04/2025,arreglo vitrinas para Envigado prest 200,60000203.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C160,Vitrina refrigeracion 200,0.0
100000428,15/04/2025,arreglo vitrinas para Envigado prest 250,60000204.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C160,Vitrina refrigeracion 200,0.0
100000429,15/04/2025,arreglo vitrinas para Envigado cong 105,60000205.0,Frigoristas,Correctivo,MECE ORAS,05/06/2025,C160,Vitrina congelacion 105,0.0
100000481,16/04/2025,Pintura cortinas enrrollables,60000217.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C240,,0.0
100000482,16/04/2025,Campana de parrilla,60000235.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C200,Campana extractora,0.0
100000508,17/04/2025,Temperatura alta en vitrinas,60000246.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C200,Vitrina refrigeracion N°02,7.0
100000517,19/04/2025,Vitrina hechando humo,60000247.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C170,Vitrina congelacion N°01,2.0
100000518,19/04/2025,Vitrina refrigeracion con fallas,4000000.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C220,Vitrina refrigeracion N°01,0.0
100000523,20/04/2025,Vitrina dañada,60000237.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C150,Vitrina congelacion N°03,2.0
100000529,20/04/2025,arreglo lampara pasillo cavas,60000864.0,Electromecanico,Correctivo,MECE ORAS,02/07/2025,C210,,0.0
100000530,20/04/2025,Daño en cava de congelacion,60000236.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C210,Evaporador cava congelacion N°01,0.0
100000531,21/04/2025,sierra dañada,60000325.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C290,Sierra sin fin,65.0
100000536,21/04/2025,sierra,,Electromecanico,Correctivo,MECE,21/04/2025,C100,Sierra sin fin,0.0
100000538,21/04/2025,Requqerimiento calidad,,Infraestructura,Correctivo,MECE,04/06/2025,C220,,0.0
100000539,21/04/2025,sierra sin fin,60000340.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C100,Sierra sin fin,13.0
100000540,21/04/2025,etiquetadora,60000459.0,Metrologia,Correctivo,MECE ORAS,05/05/2025,C100,Balanza etiquetadora,0.0
100000544,21/04/2025,arreglo granito fachada Pv y tableta,,Infraestructura,Correctivo,MECE,01/08/2025,C210,,0.0
100000545,21/04/2025,balanza colgante,60000330.0,Metrologia,Correctivo,MECE ORAS,26/04/2025,C100,Balanza colgante N°04,0.0
100000546,21/04/2025,iluminación vitrina 2,,Frigoristas,Correctivo,MECE,28/07/2025,C120,Vitrina refrigeracion N°02,0.0
100000547,21/04/2025,Pintura negra jardineras,60000693.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C120,,0.0
100000548,21/04/2025,Desprendimiento de pintura,60000671.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C200,,0.0
100000550,21/04/2025,freidora no enciende,60000289.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C410,Freidora a gas N°02,10.0
100000558,21/04/2025,Mantenimiento PV Sabaneta locativo,60000239.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C120,,0.0
100000565,21/04/2025,Mantenimiento y lavado de vitrinas PV 33,60000241.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C470,Vitrina refrigeracion N°01,0.0
100000568,22/04/2025,Fabricacion de piezas para vitrinas,60000242.0,Frigoristas,Correctivo,MECE ORAS,27/06/2025,C160,Vitrina refrigeracion N°03,0.0
100000572,22/04/2025,Persiana,4000021.0,Infraestructura,Correctivo,MECE ORAS,04/06/2025,C100,,0.0
100000577,22/04/2025,SOLICITUD INTERVENCIÓN ESTANTERIA,60001044.0,Infraestructura,Correctivo,MECE ORAS,04/08/2025,C120,,0.0
100000578,22/04/2025,Sierra desgaste motor,60000251.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C300,Sierra sin fin,134.0
100000579,22/04/2025,ARREGLO PUERTA DE ACCESO CLIENTES,60000252.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C320,,0.0
100000588,22/04/2025,Tomas electrico en mal estado,,Electromecanico,Correctivo,MECE,21/07/2025,C100,,0.0
100000590,22/04/2025,Latas vitrinas caidas,60000406.0,Frigoristas,Correctivo,MECE ORAS,27/06/2025,C100,Vitrina refrigeracion N°02,0.0
100000593,22/04/2025,Molino con fuga de aceite,60000339.0,Electromecanico,Correctivo,MECE ORAS,02/07/2025,C300,Molino,129.0
100000594,22/04/2025,SOLICITUD REMACHES BRAZO BASCULA,60000460.0,Metrologia,Correctivo,MECE ORAS,05/05/2025,C120,Balanza colgante N°05,0.0
100000601,23/04/2025,Daño conector internet,60000477.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C140,,0.0
100000602,23/04/2025,Cava de refrigeracion,60000304.0,Frigoristas,Correctivo,MECE ORAS,06/05/2025,C100,Controlador cava refrigeracion N°01,0.0
100000613,23/04/2025,Mantenimiento p.v. tulua locativo,60000278.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C380,,0.0
100000620,01/04/2025,suministro de cargador bateria,60000274.0,Electromecanico,Correctivo,MECE ORAS,30/05/2025,C260,Planta electrica,0.0
100000624,23/04/2025,Fabricacion y maquinado plea sierra,60000279.0,Electromecanico,Correctivo,MECE ORAS,01/08/2025,C140,Sierra sin fin,0.0
100000627,01/04/2025,maquinado Ejes y bujes sierra,60000281.0,Electromecanico,Correctivo,MECE ORAS,21/07/2025,C160,Sierra sin fin,0.0
100000633,23/04/2025,Cambio de luces pergola,60000285.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C400,,0.0
100000640,23/04/2025,Accesorios para instalacion de Bomba,,Electromecanico,Correctivo,MECE,21/05/2025,C270,,0.0
100000641,23/04/2025,mantenimeinto freidoras,60000343.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C330,Freidora electrica N°01,402.0
100000647,01/04/2025,Reparacion balanza etiquetadora,60000297.0,Metrologia,Correctivo,MECE ORAS,05/05/2025,C100,Balanza etiquetadora,0.0
100000648,07/04/2025,Reparacion teclado de balanza,60000582.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C140,Balanza colgante N°02,0.0
100000649,07/04/2025,Daño marco de botonera,60000583.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C140,Balanza colgante N°03,0.0
100000650,24/04/2025,Daño cierra cable,60000308.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C350,Sierra sin fin,1.0
100000652,07/04/2025,Marco de botonera reventado,60000584.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C140,Balanza colgante N°04,0.0
100000653,24/04/2025,Cambio de baterias ups,60000303.0,Electromecanico,Correctivo,MECE ORAS,22/05/2025,A290,UPS,0.0
100000654,07/04/2025,Marco de botonera roto,60000588.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C160,Balanza colgante N°02,0.0
100000655,07/04/2025,Marco de botonera roto,60000589.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C160,Balanza colgante N°05,0.0
100000657,07/04/2025,Marco de botonera roto,60000590.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C160,Balanza colgante N°07,0.0
100000658,07/04/2025,Marco de botonera roto,60000591.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C120,Balanza colgante N°04,0.0
100000660,07/04/2025,Marco de botonera roto,60000592.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C120,Balanza colgante N°05,0.0
100000661,07/04/2025,Marco de botonera roto,60000593.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C110,Balanza colgante N°01,0.0
100000662,07/04/2025,Marco de botonera roto,60000594.0,Metrologia,Correctivo,MECE ORAS,28/05/2025,C200,Balanza colgante N°03,0.0
100000663,01/04/2025,Bisagra y tapa de impresora malos,60000299.0,Metrologia,Correctivo,MECE ORAS,22/05/2025,C140,Balanza colgante N°01,0.0
100000667,01/04/2025,Tapa de impresora rota,60000595.0,Metrologia,Correctivo,MECE ORAS,29/05/2025,C170,Balanza colgante N°01,0.0
100000669,24/04/2025,Reparacion llave sala de procesos,60000378.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C400,,0.0
100000670,01/04/2025,Bisagra de impresora fracturada,60000597.0,Metrologia,Correctivo,MECE ORAS,29/05/2025,C170,Balanza colgante N°02,0.0
100000671,01/04/2025,Bisagra de impresora fracturada,60000599.0,Metrologia,Correctivo,MECE ORAS,29/05/2025,C170,Balanza colgante N°03,0.0
100000673,24/04/2025,novedad con gato puerta p.v.,60000302.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C310,,0.0
100000674,24/04/2025,Revisar bomba de agua poso URGENTE,60000317.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,A400,Bomba lapicero N°01,0.0
100000675,24/04/2025,Empaque de ventanas para transport,60000301.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C400,,0.0
100000676,01/04/2025,Bisagra de impresora fracturada,60000600.0,Metrologia,Correctivo,MECE ORAS,29/05/2025,C170,Balanza colgante N°04,0.0
100000677,01/04/2025,Bascula de piso con diferencia de peso.,60000312.0,Metrologia,Correctivo,MECE ORAS,06/05/2025,C400,Bascula plataforma,0.0
100000678,24/04/2025,Restauracion de vitrinas Arneg 01,60000305.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C160,Vitrina refrigeracion N°01,0.0
100000679,24/04/2025,Restauracion de vitrinas Arneg 02,60000306.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C160,Vitrina refrigeracion N°02,0.0
100000681,24/04/2025,Restauracion de vitrinas Arneg 03,60000307.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C160,Vitrina refrigeracion N°03,0.0
100000688,24/04/2025,Muros p.v. copacabana,60000310.0,Infraestructura,Correctivo,MECE ORAS,22/05/2025,C200,,0.0
100000697,24/04/2025,Temperatura Vitrina principal,,Frigoristas,Correctivo,MECE,21/07/2025,C240,Vitrina refrigeracion N°02,0.0
100000707,25/04/2025,Reparacion de cortinas enrrollable,60000315.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C270,Puerta automatica N°01,16.0
100000709,25/04/2025,URGENTE CAFETERA FALLANDO,60000775.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C120,Electrodomesticos menores,0.0
100000711,25/04/2025,Nevera parrilla no enfria,60000541.0,Frigoristas,Correctivo,MECE ORAS,29/05/2025,C220,Nevera vertical mixta,781.0
100000722,25/04/2025,Cambio de luces pasillo interno,60000323.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C400,,0.0
100000723,25/04/2025,Revicion b. etiquetadora,60000571.0,Metrologia,Correctivo,MECE ORAS,12/05/2025,C100,Balanza etiquetadora,0.0
100000724,25/04/2025,Cambio de luces salon general pv,60000324.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C400,,0.0
100000726,25/04/2025,cambio de luces apartamento Edf Cali,60000326.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,A260,,0.0
100000727,25/04/2025,Cambio de lamparas y limpieza curz tecni,60000327.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C400,,0.0
100000730,25/04/2025,Cambio de luces salon empleados,60000329.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C400,,0.0
100000731,25/04/2025,pozuelo del area de aseo con fuga de agu,60000333.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C110,,0.0
100000741,26/04/2025,REPARACION REJA PARRILLA,60000355.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C310,,0.0
100000744,26/04/2025,canasta de la freidora mala,,Electromecanico,Correctivo,MECE,21/07/2025,C570,Freidora a gas N°01,0.0
100000747,28/04/2025,la  sierra no arranca,60000365.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C290,Sierra sin fin,0.0
100000752,28/04/2025,Lamparas colgantes Procesos & Pasillo,,Electromecanico,Correctivo,MECE,29/07/2025,C240,,0.0
100000758,28/04/2025,BOMBA CON FUGA,60000784.0,Electromecanico,Correctivo,MECE ORAS,21/07/2025,C280,Bomba agua presion N°01,0.0
100000765,28/04/2025,PUERTA DESCARRILADA,60001046.0,Infraestructura,Correctivo,MECE ORAS,04/06/2025,A400,,0.0
100000767,28/04/2025,Gotera techo oficina dirección porcicult,60000596.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,A280,,0.0
100000768,28/04/2025,Compra de cuchilla y disco del molino,60000375.0,Electromecanico,Correctivo,MECE ORAS,27/06/2025,C260,Molino,0.0
100000770,28/04/2025,Vitrina Congelacion no funciona,60000374.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C160,Vitrina congelacion 105,2.0
100000772,28/04/2025,Cava Refrigeracion no funciona,60000373.0,Frigoristas,Correctivo,MECE ORAS,21/05/2025,C220,Controlador cava refrigeracion N°01,2.0
100000775,28/04/2025,CAMBIO DE SWITCH EN LA PARRILLA,60000369.0,Electromecanico,Correctivo,MECE ORAS,27/06/2025,C310,,0.0
100000776,28/04/2025,cruz tecnica mtto,60000683.0,Electromecanico,Correctivo,MECE ORAS,21/05/2025,C370,,0.0
100000777,28/04/2025,Luces quemadas de la Cruz,,Electromecanico,Correctivo,MECE,29/07/2025,C230,,0.0
100000778,28/04/2025,Cambio aspa de ventilador cava cong,60000490.0,Frigoristas,Correctivo,MECE ORAS,28/07/2025,C370,Evaporador cava congelacion N°01,0.0
100000779,28/04/2025,Rejas punto de venta,,Infraestructura,Correctivo,MECE,07/05/2025,C230,,0.0
100000782,29/04/2025,Arrreglo puerta de parrilla vidrio,60000422.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C250,,0.0
100000783,29/04/2025,Arreglo puerta de vidrio PDV,60000421.0,Infraestructura,Correctivo,MECE ORAS,21/05/2025,C250,,0.0
100000784,29/04/2025,Luces de pérgola en mal estato,,Electromecanico,Correctivo,MECE,29/07/2025,C250,,0.0
100000785,29/04/2025,Luces de cruz técnica malas,,Electromecanico,Correctivo,MECE,29/07/2025,C250,,0.0
100000786,29/04/2025,Luces del salon parrilla sin funcionamie,,Electromecanico,Correctivo,MECE,29/07/2025,C250,,0.0
100000798,29/04/2025,mantenimiento techo de parrillla(gotera),60000710.0,Infraestructura,Correctivo,MECE ORAS,04/06/2025,C260,,0.0
100000804,29/04/2025,Arreglo de fachada superior,60000418.0,Infraestructura,Correctivo,MECE ORAS,05/06/2025,C250,,0.0
